iter	Passed	Remaining
0	0	32
1	0	30
2	0	29
3	1	29
4	1	29
5	1	29
6	2	28
7	2	28
8	2	27
9	3	27
10	3	27
11	3	27
12	4	26
13	4	26
14	4	26
15	4	25
16	5	25
17	5	25
18	5	24
19	6	24
20	6	24
21	6	23
22	7	23
23	7	23
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	20
34	10	19
35	11	19
36	11	19
37	11	18
38	12	18
39	12	18
40	12	18
41	13	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	13
58	18	12
59	18	12
60	18	12
61	19	11
62	19	11
63	19	11
64	19	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	7
77	23	6
78	24	6
79	24	6
80	24	5
81	25	5
82	25	5
83	26	4
84	26	4
85	26	4
86	27	4
87	27	3
88	27	3
89	27	3
90	28	2
91	28	2
92	28	2
93	29	1
94	29	1
95	29	1
96	30	0
97	30	0
98	30	0
99	31	0
