iter	Passed	Remaining
0	0	37
1	0	35
2	1	36
3	1	36
4	1	35
5	2	35
6	2	35
7	3	34
8	3	35
9	3	35
10	4	34
11	4	34
12	5	34
13	5	33
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	29
25	10	28
26	10	28
27	10	27
28	11	27
29	11	26
30	11	26
31	12	26
32	12	25
33	13	25
34	13	24
35	13	24
36	14	24
37	14	23
38	14	23
39	15	22
40	15	22
41	16	22
42	16	21
43	16	21
44	17	20
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	22	16
58	22	15
59	23	15
60	23	14
61	23	14
62	24	14
63	24	13
64	24	13
65	25	13
66	25	12
67	26	12
68	26	11
69	26	11
70	27	11
71	27	10
72	28	10
73	28	10
74	28	9
75	29	9
76	29	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	32	6
84	32	5
85	33	5
86	33	4
87	33	4
88	34	4
89	34	3
90	35	3
91	35	3
92	35	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
